mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres,start_date
5,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira,,Cowboy Bebop: Tengoku no Tobira,カウボーイビバップ 天国の扉,Movie,Original,1,Finished Airing,"Sep 1, 2001",1 hr 55 min,R - 17+ (violence & profanity),8.38,403344,1746,"Action, Sci-Fi",01.09.2001
31,https://myanimelist.net/anime/31/Shinseiki_Evangelion_Movie__Shi_to_Shinsei,https://www.youtube-nocookie.com/embed/eI8aUqsCovo?enablejsapi=1&wmode=opaque&autoplay=1,Shinseiki Evangelion Movie: Shi to Shinsei,新世紀エヴァンゲリオン劇場版 シト新生,Movie,Original,1,Finished Airing,"Mar 15, 1997",1 hr 44 min,R - 17+ (violence & profanity),7.49,275680,787,"Drama, Sci-Fi, Suspense",15.03.1997
32,https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni,https://www.youtube-nocookie.com/embed/v1pWyWIu8x4?enablejsapi=1&wmode=opaque&autoplay=1,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","新世紀エヴァンゲリオン劇場版 Air / まごころを, 君に",Movie,Original,1,Finished Airing,"Jul 19, 1997",1 hr 26 min,R+ - Mild Nudity,8.56,1010593,31440,"Avant Garde, Drama, Sci-Fi, Suspense",19.07.1997
43,https://myanimelist.net/anime/43/Koukaku_Kidoutai,https://www.youtube-nocookie.com/embed/8RF09G8Ymqg?enablejsapi=1&wmode=opaque&autoplay=1,Koukaku Kidoutai,GHOST IN THE SHELL（攻殻機動隊）,Movie,Manga,1,Finished Airing,"Nov 18, 1995",1 hr 22 min,R+ - Mild Nudity,8.27,685783,13972,"Award Winning, Mystery, Sci-Fi, Suspense",18.11.1995
46,https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka,https://www.youtube-nocookie.com/embed/B-0HzGldRRk?enablejsapi=1&wmode=opaque&autoplay=1,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,Movie,Manga,1,Finished Airing,"Dec 20, 1997",1 hr 30 min,R - 17+ (violence & profanity),7.55,54869,97,Drama,20.12.1997
47,https://myanimelist.net/anime/47/Akira,https://www.youtube-nocookie.com/embed/lG2WL9brJr0?enablejsapi=1&wmode=opaque&autoplay=1,Akira,AKIRA（アキラ）,Movie,Manga,1,Finished Airing,"Jul 16, 1988",2 hr 4 min,R+ - Mild Nudity,8.16,931483,14682,"Action, Horror, Sci-Fi",16.07.1988
54,https://myanimelist.net/anime/54/Appleseed_Movie,https://www.youtube-nocookie.com/embed/ps4iKlkc41E?enablejsapi=1&wmode=opaque&autoplay=1,Appleseed (Movie),アップルシード,Movie,Manga,1,Finished Airing,"Apr 17, 2004",1 hr 45 min,R - 17+ (violence & profanity),7.05,77240,189,Sci-Fi,17.04.2004
83,https://myanimelist.net/anime/83/Kidou_Senshi_Gundam__Dai_08_MS_Shoutai_-_Millers_Report,,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,機動戦士ガンダム 第08MS小隊 ミラーズ・リポート,Movie,Original,1,Finished Airing,"Aug 1, 1998",52 min,PG-13 - Teens 13 or older,6.74,14714,5,"Drama, Romance, Sci-Fi",01.08.1998
87,https://myanimelist.net/anime/87/Kidou_Senshi_Gundam__Gyakushuu_no_Char,https://www.youtube-nocookie.com/embed/lqKhAd1UqOE?enablejsapi=1&wmode=opaque&autoplay=1,Kidou Senshi Gundam: Gyakushuu no Char,機動戦士ガンダム 逆襲のシャア,Movie,Novel,1,Finished Airing,"Mar 12, 1988",1 hr 59 min,PG-13 - Teens 13 or older,7.69,56906,580,"Drama, Sci-Fi",12.03.1988
88,https://myanimelist.net/anime/88/Kidou_Senshi_Gundam_F91,https://www.youtube-nocookie.com/embed/XOjgt9N0nn8?enablejsapi=1&wmode=opaque&autoplay=1,Kidou Senshi Gundam F91,機動戦士ガンダムＦ91,Movie,Original,1,Finished Airing,"Mar 16, 1991",2 hr,PG-13 - Teens 13 or older,6.59,36669,87,"Drama, Sci-Fi",16.03.1991
