title,rating,year,type
Shingeki no Kyojin,R - 17+ (violence & profanity),2013,TV
Death Note,R - 17+ (violence & profanity),2006,TV
Fullmetal Alchemist: Brotherhood,R - 17+ (violence & profanity),2009,TV
One Punch Man,R - 17+ (violence & profanity),2015,TV
Kimetsu no Yaiba,R - 17+ (violence & profanity),2019,TV
Hunter x Hunter (2011),PG-13 - Teens 13 or older,2011,TV
Kimi no Na wa.,PG-13 - Teens 13 or older,2016,Movie
Shingeki no Kyojin Season 2,R - 17+ (violence & profanity),2017,TV
Steins;Gate,PG-13 - Teens 13 or older,2011,TV
Jujutsu Kaisen,R - 17+ (violence & profanity),2020,TV
